key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portugese;Russian;Finnish;
NFR_conservative;Republicans;x;
NFR_conservative_2;The Napoleonic Faction;x;
NFR_reactionary;Les Bourbons;x;
NFR_liberal;Liberalists;x;
NFR_liberal_2;Republique Libre;x;
NFR_anarcho_liberal;Anarcho-Liberals;x;
NFR_socialist;Commune Francais;x;
NFR_communist;La Commune Napoleonic;x;
NFR_fascist;Nouvelle Ordre Francais;x;
BTR_conservative;Republicans;x;
BTR_reactionary;Monarchists;x;
BTR_liberal;Liberalists;x;
BTR_anarcho_liberal;Anarcho-Liberals;x;
BTR_socialist;Worker's Liberation Union;x;
BTR_communist;Worker's Commune;x;
BTR_fascist;The New Order;x;
ITL_conservative;Republicans;x;
ITL_reactionary;Monarchists;x;
ITL_liberal;Liberalists;x;
ITL_anarcho_liberal;Anarcho-Liberals;x;
ITL_socialist;Worker's Liberation Union;x;
ITL_communist;Worker's Commune;x;
ITL_fascist;The New Order;x;
BVR_conservative;Republicans;x;
BVR_reactionary;Monarchists;x;
BVR_liberal;Liberalists;x;
BVR_anarcho_liberal;Anarcho-Liberals;x;
BVR_socialist;Worker's Liberation Union;x;
BVR_communist;Worker's Commune;x;
BVR_fascist;The New Order;x;
BDW_conservative;Republicans;x;
BDW_reactionary;Monarchists;x;
BDW_liberal;Liberalists;x;
BDW_anarcho_liberal;Anarcho-Liberals;x;
BDW_socialist;Worker's Liberation Union;x;
BDW_communist;Worker's Commune;x;
BDW_fascist;The New Order;x;
HSE_conservative;Republicans;x;
HSE_reactionary;Monarchists;x;
HSE_liberal;Liberalists;x;
HSE_anarcho_liberal;Anarcho-Liberals;x;
HSE_socialist;Worker's Liberation Union;x;
HSE_communist;Worker's Commune;x;
HSE_fascist;The New Order;x;
NHO_conservative;Republicans;x;
NHO_reactionary;Monarchists;x;
NHO_liberal;Liberalists;x;
NHO_anarcho_liberal;Anarcho-Liberals;x;
NHO_socialist;Worker's Liberation Union;x;
NHO_communist;Worker's Commune;x;
NHO_fascist;The New Order;x;
COR_conservative;Republicans;x;
COR_reactionary;Monarchists;x;
COR_liberal;Liberalists;x;
COR_anarcho_liberal;Anarcho-Liberals;x;
COR_socialist;Worker's Liberation Union;x;
COR_communist;Worker's Commune;x;
COR_fascist;The New Order;x;
AHT_conservative;Republicans;x;
AHT_reactionary;Monarchists;x;
AHT_liberal;Liberalists;x;
AHT_anarcho_liberal;Anarcho-Liberals;x;
AHT_socialist;Worker's Liberation Union;x;
AHT_communist;Worker's Commune;x;
AHT_fascist;The New Order;x;
KOP_conservative;Republicans;x;
KOP_reactionary;Monarchists;x;
KOP_reactionary_2;Party of the Royals;x;
KOP_liberal;Liberalists;x;
KOP_anarcho_liberal;Anarcho-Liberals;x;
KOP_socialist;Worker's Liberation Union;x;
KOP_communist;Worker's Commune;x;
KOP_fascist;The New Order;x;
KOP_fascist_2;NSDP;x;
KOG_conservative;Republicans;x;
KOG_reactionary;Monarchists;x;
KOG_reactionary_2;Party of the Royals;x;
KOG_liberal;Liberalists;x;
KOG_anarcho_liberal;Anarcho-Liberals;x;
KOG_socialist;Worker's Liberation Union;x;
KOG_communist;Worker's Commune;x;
KOG_fascist;The New Order;x;
KOG_fascist_2;NSDP;x;
SWC_conservative;Republicans;x;
SWC_reactionary;Monarchists;x;
SWC_liberal;Liberalists;x;
SWC_anarcho_liberal;Anarcho-Liberals;x;
SWC_socialist;Worker's Liberation Union;x;
SWC_communist;Worker's Commune;x;
SWC_fascist;The New Order;x;
DOW_conservative;Republicans;x;
DOW_reactionary;Monarchists;x;
DOW_liberal;Liberalists;x;
DOW_anarcho_liberal;Anarcho-Liberals;x;
